seed,captured,detectStep,capturePhaseStartStep,captureStep,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,avgIdleness,maxIdleness,workloadBalance,targetConflictCount
13276,True,18,18,36,-1,0.9563,4036,189.3252,4.8482,36,0.9630,189.3252,4036,0.4714,0
13277,True,16,16,21,-1,0.7961,4021,825.0388,3.2933,21,0.9365,825.0388,4021,0.9428,0
13278,True,14,14,31,-1,0.9029,4031,402.5680,4.1808,31,0.9677,402.5680,4031,0.4714,0
13279,True,10,10,21,-1,0.7184,4021,1136.9560,3.1368,21,0.9683,1136.9560,4021,0.0000,0
13280,True,17,17,22,-1,0.8155,4022,747.7184,3.4470,22,0.9697,747.7184,4022,0.0000,0
13281,True,23,23,28,-1,0.9563,4028,184.7427,4.4299,28,0.9762,184.7427,4028,0.0000,0
13282,True,17,17,23,-1,0.8010,4023,806.8787,3.4575,23,0.9420,806.8787,4023,0.9428,0
13283,True,28,28,39,-1,0.9757,4039,113.1796,4.8941,39,0.9658,113.1796,4039,0.4714,0
13284,True,18,18,22,-1,0.8204,4022,728.3350,3.5057,22,0.9697,728.3350,4022,0.0000,0
13285,True,24,24,33,-1,0.9563,4033,187.3641,4.4063,33,0.9697,187.3641,4033,0.4714,0
13286,True,22,22,26,-1,0.9369,4026,261.5583,4.0735,26,0.9744,261.5583,4026,0.0000,0
13287,True,17,17,25,-1,0.8252,4025,710.4563,3.5291,25,0.9467,710.4563,4025,0.9428,0
13288,True,29,29,33,-1,0.9709,4033,127.3835,4.3570,33,0.9697,127.3835,4033,0.4714,0
13289,True,11,11,20,-1,0.7427,4020,1038.0490,3.1639,20,0.9333,1038.0490,4020,0.9428,0
13290,True,13,13,29,-1,0.8932,4029,439.2719,4.1218,29,0.9540,439.2719,4029,0.4714,0
13291,True,26,26,32,-1,0.9709,4032,127.9612,4.4723,32,0.9688,127.9612,4032,0.4714,0
13292,True,17,17,22,-1,0.8301,4022,689.3350,3.3910,22,0.9697,689.3350,4022,0.0000,0
13293,True,32,32,39,-1,0.9660,4039,149.8544,4.9339,39,0.9744,149.8544,4039,0.4714,0
13294,True,28,28,48,-1,0.9757,4048,120.7767,5.7231,48,0.9722,120.7767,4048,0.9428,0
13295,True,22,22,25,-1,0.9175,4025,339.3447,4.0727,25,0.9733,339.3447,4025,0.0000,0
13296,True,25,25,37,-1,0.9563,4037,190.0243,4.7893,37,0.9640,190.0243,4037,0.9428,0
13297,True,20,20,30,-1,0.8883,4030,459.3544,4.1153,30,0.9667,459.3544,4030,0.4714,0
13298,True,10,10,20,-1,0.7136,4020,1155.7190,3.0737,20,0.9667,1155.7190,4020,0.0000,0
13299,True,23,23,27,-1,0.9369,4027,262.2476,4.0615,27,0.9753,262.2476,4027,0.0000,0
13300,True,19,19,21,-1,0.8010,4021,805.6844,3.4098,21,0.9683,805.6844,4021,0.0000,0
13301,True,14,14,33,-1,0.9466,4033,228.2816,4.4700,33,0.9596,228.2816,4033,0.4714,0
13302,True,38,38,53,-1,0.9806,4053,96.3544,5.4366,53,0.9748,96.3544,4053,0.9428,0
13303,True,18,18,30,-1,0.9369,4030,264.3495,4.6853,30,0.9556,264.3495,4030,0.9428,0
13304,True,21,21,22,-1,0.8204,4022,728.2427,3.4664,22,0.9697,728.2427,4022,0.0000,0
13305,True,18,18,21,-1,0.8058,4021,786.2621,3.4863,21,0.9683,786.2621,4021,0.0000,0
13306,True,12,12,18,-1,0.7039,4018,1192.5680,2.8286,18,0.9259,1192.5680,4018,0.9428,0
13307,True,17,17,24,-1,0.8592,4024,573.2913,3.5660,24,0.9444,573.2913,4024,0.9428,0
13308,True,11,11,19,-1,0.7039,4019,1193.5580,3.0086,19,0.9298,1193.5580,4019,0.9428,0
13309,True,11,11,37,-1,0.8301,4037,699.6844,4.6658,37,0.9730,699.6844,4037,0.4714,0
13310,True,22,22,35,-1,0.8932,4035,442.2573,4.5113,35,0.9810,442.2573,4035,0.0000,0
13311,True,17,17,18,-1,0.7718,4018,920.7767,2.9933,18,0.9630,920.7767,4018,0.0000,0
13312,True,22,22,23,-1,0.8786,4023,494.4126,3.9722,23,0.9710,494.4126,4023,0.0000,0
13313,True,25,25,32,-1,0.9563,4032,186.7087,4.3348,32,0.9583,186.7087,4032,0.9428,0
13314,True,14,14,23,-1,0.7961,4023,824.9175,3.5119,23,0.9420,824.9175,4023,0.9428,0
13315,True,16,16,20,-1,0.7913,4020,843.9321,3.0808,20,0.9333,843.9321,4020,0.9428,0
13316,True,18,18,22,-1,0.8204,4022,728.2379,3.5576,22,0.9697,728.2379,4022,0.0000,0
13317,True,23,23,33,-1,0.9515,4033,207.0485,4.3702,33,0.9596,207.0485,4033,0.9428,0
13318,True,18,18,23,-1,0.8252,4023,709.4369,3.5534,23,0.9710,709.4369,4023,0.0000,0
13319,True,19,19,23,-1,0.8155,4023,748.4418,3.6070,23,0.9710,748.4418,4023,0.0000,0
13320,True,28,28,38,-1,0.9709,4038,131.5583,4.8058,38,0.9737,131.5583,4038,0.4714,0
13321,True,11,11,22,-1,0.7621,4022,961.5097,3.3337,22,0.9394,961.5097,4022,0.9428,0
13322,True,23,23,32,-1,0.9563,4032,186.9466,4.4317,32,0.9792,186.9466,4032,0.0000,0
13323,True,18,18,26,-1,0.8883,4026,457.2136,4.0662,26,0.9744,457.2136,4026,0.0000,0
13324,True,12,12,29,-1,0.9029,4029,400.1408,4.2748,29,0.9540,400.1408,4029,0.4714,0
13325,True,28,28,36,-1,0.9660,4036,147.8981,4.6114,36,0.9815,147.8981,4036,0.0000,0
13326,True,18,18,26,-1,0.8252,4026,711.1844,3.9233,26,0.9487,711.1844,4026,0.9428,0
13327,True,25,25,34,-1,0.9612,4034,168.2913,4.5107,34,0.9608,168.2913,4034,0.4714,0
13328,True,14,14,18,-1,0.7621,4018,959.1844,2.9539,18,0.9630,959.1844,4018,0.0000,0
13329,True,22,22,23,-1,0.8786,4023,494.4126,3.9722,23,0.9710,494.4126,4023,0.0000,0
13330,True,11,11,21,-1,0.7767,4021,902.3301,3.2694,21,0.9365,902.3301,4021,0.9428,0
13331,True,15,15,26,-1,0.8350,4026,671.5485,3.9760,26,0.9487,671.5485,4026,0.9428,0
13332,True,41,41,56,41,1.0000,52,16.5194,4.9531,56,0.9821,16.5194,52,0.4714,0
13333,True,22,22,33,-1,0.9709,4033,128.8447,4.4683,33,0.9596,128.8447,4033,0.9428,0
13334,True,20,20,31,-1,0.9272,4031,303.7087,4.3749,31,0.9570,303.7087,4031,0.9428,0
13335,True,23,23,32,-1,0.9660,4032,148.0000,4.3514,32,0.9583,148.0000,4032,0.9428,0
13336,True,8,8,24,-1,0.7282,4024,1100.8840,3.7387,24,0.9444,1100.8840,4024,0.4714,0
13337,True,14,14,22,-1,0.7379,4022,1058.4420,2.9599,22,0.9394,1058.4420,4022,0.9428,0
13338,True,23,23,32,-1,0.9563,4032,186.7961,4.4930,32,0.9583,186.7961,4032,0.9428,0
13339,True,26,26,33,-1,0.9660,4033,148.0874,4.4235,33,0.9697,148.0874,4033,0.4714,0
13340,True,11,11,28,-1,0.8738,4028,516.6165,4.4979,28,0.9524,516.6165,4028,0.4714,0
13341,True,22,22,23,-1,0.8786,4023,494.4126,3.9722,23,0.9710,494.4126,4023,0.0000,0
13342,True,18,18,21,-1,0.8058,4021,786.2621,3.4863,21,0.9683,786.2621,4021,0.0000,0
13343,True,22,22,33,-1,0.9660,4033,148.6651,4.4669,33,0.9596,148.6651,4033,0.9428,0
13344,True,11,11,22,-1,0.7573,4022,981.2524,3.4251,22,0.9394,981.2524,4022,0.4714,0
