simMode,seed,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,workloadBalance,targetConflictCount
PatrolOnly,12406,34,1.0000,36,9.4612,4.7526,100,0.9900,0.0000,0
PatrolOnly,12407,29,1.0000,34,10.0728,4.6778,100,0.9900,0.0000,0
PatrolOnly,12408,49,1.0000,40,12.9272,5.6930,100,0.9933,0.0000,0
PatrolOnly,12409,39,1.0000,33,11.5194,4.2043,100,0.9900,0.0000,0
PatrolOnly,12410,35,1.0000,35,9.2233,4.4058,100,0.9900,0.0000,0
PatrolOnly,12411,36,1.0000,39,6.5291,4.2867,100,0.9900,0.0000,0
PatrolOnly,12412,39,1.0000,39,10.4757,4.2647,100,0.9900,0.0000,0
PatrolOnly,12413,54,1.0000,45,10.7087,5.8754,100,0.9933,0.0000,0
PatrolOnly,12414,24,1.0000,30,8.6942,4.9639,100,0.9900,0.0000,0
PatrolOnly,12415,33,1.0000,29,8.5971,4.4421,100,0.9900,0.0000,0
PatrolOnly,12416,33,1.0000,44,11.8301,4.9344,100,0.9900,0.0000,0
PatrolOnly,12417,45,1.0000,55,6.9272,4.4911,100,0.9900,0.0000,0
PatrolOnly,12418,38,1.0000,30,9.1165,4.4691,100,0.9900,0.0000,0
PatrolOnly,12419,33,1.0000,39,9.8689,4.4778,100,0.9900,0.0000,0
PatrolOnly,12420,42,1.0000,34,7.4854,4.5405,100,0.9900,0.0000,0
PatrolOnly,12421,39,1.0000,41,8.0291,4.4866,100,0.9900,0.0000,0
PatrolOnly,12422,32,1.0000,32,8.4223,4.7847,100,0.9900,0.0000,0
PatrolOnly,12423,38,1.0000,33,12.1990,4.6749,100,0.9900,0.0000,0
PatrolOnly,12424,30,1.0000,32,6.6311,4.4075,100,0.9900,0.0000,0
PatrolOnly,12425,36,1.0000,40,7.9806,4.7967,100,0.9900,0.0000,0
PatrolOnly,12426,43,1.0000,41,13.2913,5.0241,100,0.9900,0.0000,0
PatrolOnly,12427,35,1.0000,37,10.5194,5.0142,100,0.9900,0.0000,0
PatrolOnly,12428,30,1.0000,52,8.9029,5.0545,100,0.9933,0.0000,0
PatrolOnly,12429,40,1.0000,31,7.1650,4.5145,100,0.9900,0.0000,0
PatrolOnly,12430,35,1.0000,31,8.3350,4.8046,100,0.9900,0.0000,0
PatrolOnly,12431,42,1.0000,41,10.2524,5.5126,100,0.9900,0.0000,0
PatrolOnly,12432,32,1.0000,38,9.8835,4.4014,100,0.9900,0.0000,0
PatrolOnly,12433,41,1.0000,32,9.1942,4.6412,100,0.9900,0.0000,0
PatrolOnly,12434,37,1.0000,31,7.9029,4.5453,100,0.9900,0.0000,0
PatrolOnly,12435,29,1.0000,29,7.6019,5.0732,100,0.9900,0.0000,0
PatrolOnly,12436,38,1.0000,34,9.3835,4.5581,100,0.9933,0.0000,0
PatrolOnly,12437,39,1.0000,41,9.7379,5.5423,100,0.9900,0.0000,0
PatrolOnly,12438,33,1.0000,33,9.4612,4.6961,100,0.9900,0.0000,0
PatrolOnly,12439,26,1.0000,31,9.0097,4.7260,100,0.9900,0.0000,0
PatrolOnly,12440,41,1.0000,36,9.2427,5.4776,100,0.9900,0.0000,0
PatrolOnly,12441,37,1.0000,34,9.8544,4.7100,100,0.9900,0.0000,0
PatrolOnly,12442,37,1.0000,34,8.2330,4.5234,100,0.9900,0.0000,0
PatrolOnly,12443,29,1.0000,23,8.2767,4.4108,100,0.9933,0.0000,0
PatrolOnly,12444,35,1.0000,31,7.9078,4.6022,100,0.9900,0.0000,0
PatrolOnly,12445,38,1.0000,34,7.8204,4.5354,100,0.9900,0.0000,0
PatrolOnly,12446,39,1.0000,31,10.2233,4.5853,100,0.9900,0.0000,0
PatrolOnly,12447,38,1.0000,31,7.2379,5.3033,100,0.9900,0.0000,0
PatrolOnly,12448,38,1.0000,31,8.1262,4.5250,100,0.9900,0.0000,0
PatrolOnly,12449,39,1.0000,48,8.8155,5.2301,100,0.9900,0.0000,0
PatrolOnly,12450,33,1.0000,32,6.4563,4.5881,100,0.9900,0.0000,0
PatrolOnly,12451,39,1.0000,39,7.0971,5.1520,100,0.9900,0.0000,0
PatrolOnly,12452,49,1.0000,33,10.3641,4.4056,100,0.9900,0.0000,0
PatrolOnly,12453,35,1.0000,32,7.4417,4.7840,100,0.9900,0.0000,0
PatrolOnly,12454,37,1.0000,34,7.5485,4.8040,100,0.9900,0.0000,0
PatrolOnly,12455,46,1.0000,34,7.4029,4.7321,100,0.9900,0.0000,0
PatrolOnly,12456,36,1.0000,30,8.0680,5.1597,100,0.9900,0.0000,0
PatrolOnly,12457,34,1.0000,32,7.9466,4.3884,100,0.9900,0.0000,0
PatrolOnly,12458,34,1.0000,32,8.3398,4.5276,100,0.9900,0.0000,0
PatrolOnly,12459,33,1.0000,31,7.1748,4.5814,100,0.9900,0.0000,0
PatrolOnly,12460,40,1.0000,26,7.4612,4.4460,100,0.9900,0.0000,0
PatrolOnly,12461,35,1.0000,54,8.6068,5.1766,100,0.9933,0.0000,0
PatrolOnly,12462,44,1.0000,31,6.1990,4.6658,100,0.9900,0.0000,0
PatrolOnly,12463,73,1.0000,77,11.8641,6.1676,100,0.9933,0.0000,0
PatrolOnly,12464,33,1.0000,29,7.5340,5.3598,100,0.9900,0.0000,0
PatrolOnly,12465,31,1.0000,38,7.7476,4.7857,100,0.9900,0.0000,0
PatrolOnly,12466,35,1.0000,33,8.8398,4.4259,100,0.9900,0.0000,0
PatrolOnly,12467,35,1.0000,28,7.1893,4.3619,100,0.9900,0.0000,0
PatrolOnly,12468,32,1.0000,33,8.4709,4.3900,100,0.9900,0.0000,0
